Volcano Name,Latitude,Longitude
Snaefellsjökull,64.80,-23.78
Helgrindur,64.87,-23.25
Ljósufjöll,64.87,-22.23
Reykjanes,63.88,-22.50
Krísuvík,63.93,-22.10
Brennisteinsfjöll,63.92,-21.83
Hengill,64.08,-21.32
Hrómundartindur,64.07,-21.20
Grímsnes,64.03,-20.87
Prestahnukur,64.60,-20.58
Hveravellir,64.75,-19.98
Hofsjökull,64.78,-18.92
Vestmannaeyjar,63.43,-20.28
Eyjafjallajökull,63.63,-19.62
Katla,63.63,-19.05
Tindfjallajökull,63.78,-19.57
Torfajökull,63.92,-19.17
Hekla,63.98,-19.70
Grímsvötn,64.42,-17.33
Bárdarbunga,64.63,-17.53
Tungnafellsjökull,64.73,-17.92
Kverkfjöll,64.65,-16.72
Askja,65.03,-16.75
Fremrinamur,65.43,-16.65
Krafla,65.73,-16.78
Theistareykjarbunga,65.88,-16.83
Tjörnes Fracture Zone,66.30,-17.10
Öraefajökull,64.00,-16.65
Esjufjöll,64.27,-16.65
Kolbeinsey Ridge,66.67,-18.50
